iter	Passed	Remaining
0	7	726
1	17	870
2	28	932
3	38	917
4	46	884
5	57	901
6	66	888
7	78	901
8	88	890
9	98	889
10	107	871
11	118	868
12	126	849
13	136	837
14	149	845
15	157	829
16	167	816
17	177	806
18	186	795
19	195	782
20	208	782
21	218	773
22	227	761
23	236	747
24	245	737
25	255	727
26	262	709
27	275	709
28	285	698
29	294	687
30	305	679
31	314	667
32	324	658
33	337	654
34	349	649
35	359	638
36	369	629
37	378	617
38	388	607
39	400	600
40	413	595
41	423	584
42	433	574
43	441	561
44	450	550
45	460	540
46	472	533
47	482	522
48	492	512
49	501	501
50	510	490
51	521	481
52	530	470
53	542	462
54	552	451
55	561	440
56	570	430
57	578	419
58	589	409
59	601	400
60	610	390
61	620	380
62	629	369
63	638	359
64	647	348
65	657	338
66	670	330
67	680	320
68	689	309
69	699	299
70	708	289
71	719	279
72	731	270
73	742	260
74	751	250
75	760	240
76	770	230
77	779	219
78	788	209
79	802	200
80	812	190
81	821	180
82	831	170
83	840	160
84	850	150
85	862	140
86	871	130
87	881	120
88	890	110
89	900	100
90	909	89
91	919	79
92	932	70
93	943	60
94	954	50
95	963	40
96	972	30
97	981	20
98	994	10
99	1003	0
